"When passing in a field array there must be a matching condition array.","When passing in a field array there must be a matching condition array."
"When passing an array of fields there must be at least one field in the array.","When passing an array of fields there must be at least one field in the array."
"The image content must be valid base64 encoded data.","The image content must be valid base64 encoded data."
"The image MIME type is not valid or not supported.","The image MIME type is not valid or not supported."
"Provided image name contains forbidden characters.","Provided image name contains forbidden characters."
"The image content is not valid.","The image content is not valid."
"The sort order has to be specified as a string, got %1.","The sort order has to be specified as a string, got %1."
"The sort order has to be specified as %1 for ascending order or %2 for descending order.","The sort order has to be specified as %1 for ascending order or %2 for descending order."
"Invalid XML in file %1:
%2","Invalid XML in file %1:
%2"
"File not found","File not found"
"Area code is already set","Area code is already set"
"Area code is not set","Area code is not set"
"Page not found.","Page not found."
Test,Test
"File does not exist","File does not exist"
"Can\'t get contents from: %1","Can\'t get contents from: %1"
"Permission denied to write to %1","Permission denied to write to %1"
"Can\'t open file %1 for writing. Permission denied.","Can\'t open file %1 for writing. Permission denied."
"File %1 does not exist","File %1 does not exist"
"Permission denied to read file %1","Permission denied to read file %1"
"Failed to open file %1","Failed to open file %1"
"Failed to write data to %1","Failed to write data to %1"
"Failed to read data from %1","Failed to read data from %1"
"File not opened","File not opened"
"Can't scan dir: %1","Can't scan dir: %1"
"Failed to create directory %1","Failed to create directory %1"
"'%1' file extension is not supported","'%1' file extension is not supported"
"Bad root directory","Bad root directory"
"Current implementation not supported this type (%1) of backup.","Current implementation not supported this type (%1) of backup."
"Not enough permissions to read files for backup","Not enough permissions to read files for backup"
"Failed to create backup","Failed to create backup"
"Warning: necessary space for backup is ' . . 'MB, but your free disc space is ' . . 'MB.","Warning: necessary space for backup is ' . . 'MB, but your free disc space is ' . . 'MB."
"Cant create backups directory","Cant create backups directory"
"Backups directory is not writeable","Backups directory is not writeable"
"Can't load snapshot archive","Can't load snapshot archive"
"Unable to make rollback because not all files are writable","Unable to make rollback because not all files are writable"
dummy,dummy
"Unable to validate ftp account","Unable to validate ftp account"
"Failed to validate ftp account","Failed to validate ftp account"
"Failed to upload file %1 to ftp","Failed to upload file %1 to ftp"
"Invalid value for the node <slab_size>. Expected to be positive integer.","Invalid value for the node <slab_size>. Expected to be positive integer."
"Source class ""%1"" for ""%2"" generation does not exist.","Source class ""%1"" for ""%2"" generation does not exist."
"File already exists","File already exists"
"File with an extension ""%value%"" is protected and cannot be uploaded","File with an extension ""%value%"" is protected and cannot be uploaded"
"Incorrect argument sequence in class %1 in %2%3Required: $%4%5Actual  : $%6%7","Incorrect argument sequence in class %1 in %2%3Required: $%4%5Actual  : $%6%7"
"Invalid constructor argument(s) in %1","Invalid constructor argument(s) in %1"
"Missed required argument %1 in parent::__construct call. File: %2","Missed required argument %1 in parent::__construct call. File: %2"
"Incompatible argument type: Required type: %1. Actual type: %2; File: %3%4%5","Incompatible argument type: Required type: %1. Actual type: %2; File: %3%4%5"
"Extra parameters passed to parent construct: %1. File: %2","Extra parameters passed to parent construct: %1. File: %2"
"Incorrect dependency in class %1 in %2%3%4","Incorrect dependency in class %1 in %2%3%4"
"Argument type duplication in class %1 in %2%3%4","Argument type duplication in class %1 in %2%3%4"
"Invalid Document %1%2","Invalid Document %1%2"
"Invalid XML-file: %1%2%3","Invalid XML-file: %1%2%3"
"More than one node matching the query: %1","More than one node matching the query: %1"
"Unsupported format of schema location: '%1'","Unsupported format of schema location: '%1'"
