"When passing in a field array there must be a matching condition array.","Khi chuyển đổi trong một mảng trường phải có các mảng điều kiện tương xứng."
"When passing an array of fields there must be at least one field in the array.","Khi chuyển đổi trong một mảng của các trường phải có ít nhất một trường trong mảng đó."
"The image content must be valid base64 encoded data.","Nội dung hình ảnh phải có hiệu lực base64 được mã hóa dữ liệu."
"The image MIME type is not valid or not supported.","Loại hình ảnh MIME không có giá trị hoặc được hỗ trợ."
"Provided image name contains forbidden characters."," Tên hình ảnh được cung cấp chứa các ký tự bị cấm."
"The image content is not valid.","Nội dung hình ảnh không có hiệu lực."
"The sort order has to be specified as a string, got %1.","Kiểu sắp xếp phải chi tiết như một chuỗi ký tự, nhận %1."
"The sort order has to be specified as %1 for ascending order or %2 for descending order."," Kiểu sắp xếp phải chi tiết như %1 cho sắp xếp tiến lên hoặc %2 cho sắp xếp đi xuống."
"Invalid XML in file %1:%2","XML không đúng trong tệp %1:%2"
"File not found","Không tìm thấy tệp"
"Area code is already set","Vùng mã đã được đặt"
"Area code is not set","Vùng mã không được đặt"
"Page not found.","Không tìm thấy trang."
"Test","Kiểm tra"
"File does not exist","Tệp không tồn tại"
"Can\'t get contents from: %1","Không thể nhận nội dung từ: %1"
"Permission denied to write to %1","Từ chối quyền viết đến %1"
"Can\'t open file %1 for writing. Permission denied.","Không thể mở tệp %1 để viết. Quyền bị từ chối."
"File %1 does not exist","Tệp %1 không tồn tại"
"Permission denied to read file %1","Từ chối quyền đọc tệp %1"
"Failed to open file %1","Không thể mở được tệp %1"
"Failed to write data to %1","Không thể viết dữ liệu cho %1"
"Failed to read data from %1","Không thể đọc dữ liệu từ %1"
"File not opened","Không thể mở được tệp"
"Can't scan dir: %1","Không thể quét dir: %1"
"Failed to create directory %1","Không thể tạo thư mục %1"
"'%1' file extension is not supported","'%1' thư mục tiện ích không được hỗ trợ"
"Bad root directory","Lỗi thư mục gốc"
"Current implementation not supported this type (%1) of backup.","Sự thi hành hiện tại không hỗ trợ loại(%1) của bản sao lưu."
"Not enough permissions to read files for backup","Không đủ quyền truy cập để đọc các tệp cho bản sao lưu"
"Failed to create backup","Không thể tạo được bản sao lưu"
"Warning: necessary space for backup is ' . . 'MB, but your free disc space is ' . . 'MB.","Cảnh báo: Bộ nhớ cần thiết cho bản sao lưu là ' . . 'MB, nhưng bộ nhớ trống đĩa của bạn là ' . . 'MB."
"Cant create backups directory","Không thể tạo được thư mục sao lưu"
"Backups directory is not writeable","Thư mục sao lưu không thể ghi lại được"
"Can't load snapshot archive","Không thể tải bản lưu trữ lưu nhanh"
"Unable to make rollback because not all files are writable","Không thể phục hồi bởi vì tất cả các tệp chưa được ghi lại"
"dummy","vật giả"
"Unable to validate ftp account","Không thể xác nhận tài khoản ftp"
"Failed to validate ftp account","Không thể xác nhận tài khoản tp"
"Failed to upload file %1 to ftp","Không thể tải lên tệp %1 đến ftp"
"Invalid value for the node <slab_size>. Expected to be positive integer.","Giá trị không đúng cho nút <slab_size>. Dự kiến là số nguyên dương."
"Source class ""%1"" for ""%2"" generation does not exist.","Loại nguồn ""%1"" cho thế hệ ""%2"" không tồn tại."
"File already exists","Tệp đã tồn tại"
"File with an extension ""%value%"" is protected and cannot be uploaded","Tệp với tiện ích ""%value%"" được bảo vệ và không thể được tải lên"
"Incorrect argument sequence in class %1 in %2%3Required: $%4%5Actual  : $%6%7","Sai trình tự đối trong tệp %1 in %2%3Required: $%4%5Actual  : $%6%7"
"Invalid constructor argument(s) in %1","Hàm tạo đối trong %1 không đúng"
"Missed required argument %1 in parent::__construct call. File: %2","Thiếu đối %1 được yêu cầu trong tệp mẹ::__construct call. Tệp: %2"
"Incompatible argument type: Required type: %1. Actual type: %2; File: %3%4%5","Loại đối số không tương thích: Loại được yêu cầu: %1. Loại thực sự: %2; Tệp: %3%4%5"
"Extra parameters passed to parent construct: %1. File: %2","Thêm thông số chuyển qua cấu tạo mẹ: %1. Tệp: %2"
"Incorrect dependency in class %1 in %2%3%4","Phần phụ thuộc không đúng trong lớp %1 trong %2%3%4"
"Argument type duplication in class %1 in %2%3%4","Sự nhân đôi loại đối số trong lớp %1 trong %2%3%4"
"Invalid Document %1%2","Tài liệu không đúng %1%2"
"Invalid XML-file: %1%2%3","Tệp XML không đúng: %1%2%3"
"More than one node matching the query: %1","Hơn một nút phù hợp với truy vấn: %1"
"Unsupported format of schema location: '%1'","Không hỗ trợ định dạng của sơ đồ vị trí: '%1'"
"Could not locate schema: '%1' at '%2'","Không thể đặt sơ đồ: '%1' tại '%2'"
"File '%system' cannot be found","Tệp '%system' không thể tìm thấy"
"Could not read config file","Không thể đọc tệp cấu hình"
.,.
"Root element must not be empty or numeric","Phần tử gốc Root phải không được trống hoặc dạng số"
"Array root keys must not be numeric.","Mảng khóa gốc không được có dạng số."
"Associative key must not be the same as its parent associative key.","Khóa kết hợp phải không được giống với khóa kệp hợp mẹ của nó."
